word,label
"Hello,",O
you,O
have,O
called,O
virtual,O
bank.,O
This,O
is,O
Helen,PERSON
speaking.,O
How,O
may,O
I,O
help,O
you?,O
I,O
hope,O
I,O
want,O
to,O
report,O
a,O
lost,O
credit,O
card.,O
Okay.,O
Do,O
you,O
have,O
your,O
debit,O
card,O
number?,O
"Ohh,",O
yes.,O
That,O
is,O
-2340,CARDNUM
4522,O
"Okay,",O
that,O
is,O
-1337,CARDNUM
for,O
522,O
Yes.,O
What,O
is,O
your,O
identification,O
number?,O
-9801,IDCARD
"Okay,",O
I,O
have,O
-9801,IDCARD
And,O
what,O
is,O
your,O
"name,",O
sir?,O
My,O
name,O
is,O
the,O
collagen.,O
Okay.,O
Do,O
you,O
want,O
me,O
to,O
permanent,O
suspend,O
your,O
"card,",O
sir?,O
"Yes,",O
please.,O
"Okay,",O
and,O
your,O
ledger,O
balance,O
in,O
the,O
account,O
is,O
"$56,000.00 ",MONEY
Is,O
that,O
correct?,O
Yes.,O
Okay.,O
I,O
just,O
permanent,O
suspended,O
your,O
card.,O
Thank,O
you,O
for,O
using,O
our,O
service.,O
Have,O
a,O
good,O
"day,",O
sir.,O
Thank,O
you.,O
