word,label
"Hello,",O
you,O
have,O
called,O
virtual,O
bank.,O
This,O
is,O
Jennifer,PERSON
speaking.,O
How,O
may,O
I,O
help,O
you?,O
Hello,O
Deborah.,PERSON
I,O
would,O
like,O
to,O
change,O
my,O
phone,O
number.,O
What,O
is,O
your,O
name,O
ma'am?,O
Stephanie,PERSON
Bolton.,PERSON
"Okay,",O
Miss,O
Bolton,PERSON
and,O
could,O
I,O
have,O
your,O
identification,O
number?,O
854-400-7241,IDCARD
599,O
6,O
Okay.,O
I,O
have,O
854-470-241-5996,IDCARD
is,O
the,O
correct.,O
Correct?,O
And,O
what,O
is,O
your,O
account,O
number?,O
That,O
is,O
874-502-5400?,ACCNUM
Okay.,O
So,O
what,O
is,O
your,O
new,O
phone,O
number?,O
266-557-850-4521,PHONENUM
please,O
wait,O
for,O
a,O
moment.,O
Okay.,O
I,O
just,O
replaced,O
your,O
phone,O
number.,O
Would,O
you,O
like,O
another,O
service,O
now?,O
No.,O
Thank,O
you.,O
Have,O
a,O
good,O
day.,O
Thank,O
you.,O
